学期,科目番号,科目名称,履修者数,回答者数,問1,問2,問3,問4,問5,問6,問7,問8,問9,問10,問11,問12,問13,問14,問15,問16,問17
春,GE11542,専門英語A-4,8,6,3.83,3.67,3.60,3.60,1.00,2.17,2.17,2.50,2.83,3.25,3.33,3.17,3.00,3.33,3.00,3.50,3.17
秋,GE11542,専門英語A-4,8,6,3.67,3.80,3.60,3.60,1.00,2.00,3.20,2.50,3.00,3.25,3.50,3.33,3.33,3.40,3.60,3.60,3.40
秋,GE20101,情報システム概説,106,92,3.29,3.22,3.05,3.12,1.00,1.14,1.67,2.61,2.82,3.28,3.13,3.08,3.09,2.95,2.51,2.98,2.72
秋,GE20201,基礎数学A,127,88,3.46,3.23,3.02,3.18,1.11,1.15,1.28,2.52,2.84,3.10,3.30,3.28,3.33,3.16,2.75,2.92,2.49
春,GE20301,基礎数学B,22,14,3.69,3.31,3.38,3.31,1.00,2.21,1.21,3.14,3.93,3.69,3.00,3.31,3.00,2.69,2.85,3.36,3.21
秋,GE20401,量的調査法,114,94,3.36,3.35,3.29,3.35,1.01,2.14,1.59,2.85,2.89,3.17,2.93,3.15,2.99,2.93,3.04,3.21,3.01
秋,GE20511,多変量解析,97,58,2.74,2.07,2.37,2.44,1.12,2.29,1.45,2.75,3.14,2.51,2.29,2.42,2.25,2.11,2.37,2.47,2.27
春,GE20601,情報探索論,129,110,3.51,3.50,3.31,3.28,1.06,2.20,1.67,2.68,2.41,3.13,3.21,3.11,3.06,3.03,2.94,3.14,2.87
秋,GE20701,質的調査法,111,91,3.47,3.35,3.36,3.43,1.04,2.20,1.75,2.88,2.55,3.16,3.31,2.78,2.94,2.85,3.13,3.31,3.06
秋,GE20801,情報行動論,109,77,3.62,3.55,3.42,3.43,1.11,2.12,1.41,2.87,3.32,3.44,3.43,3.43,3.34,3.13,3.06,3.44,3.19
春,GE20901,知識発見基礎論,91,76,3.25,2.89,2.98,2.98,1.00,2.05,1.64,2.56,2.81,2.95,2.32,2.63,2.58,2.39,2.47,2.85,2.68
春,GE21001,知識資源組織化論,120,97,3.45,3.32,3.21,3.20,1.14,2.20,1.42,2.79,2.79,3.15,3.17,3.11,3.01,2.86,2.98,3.15,2.97
春,GE21101,データベース概説,108,55,3.65,3.53,3.53,3.55,1.00,2.02,1.58,2.98,2.80,3.37,3.62,3.56,3.54,3.31,3.25,3.51,3.38
秋,GE21201,コンピュータシステムとネットワーク,94,67,3.32,3.23,3.19,3.16,1.00,2.13,1.58,2.81,2.64,3.19,3.27,3.07,3.20,2.95,2.90,3.17,2.98
秋,GE21301,自然言語解析基礎,105,89,3.59,3.51,3.51,3.49,1.01,2.03,1.44,2.99,3.11,3.36,3.41,3.31,3.34,3.23,3.12,3.30,3.21
春,GE21401,メディア社会学,122,83,3.17,2.88,2.90,3.02,1.11,2.11,1.44,2.66,2.20,2.68,2.62,2.89,2.71,2.70,2.65,2.94,2.63
秋,GE21601,公共経済学,123,60,3.66,3.55,3.54,3.65,1.03,2.05,1.46,3.08,2.95,3.32,3.47,3.26,3.39,3.28,3.11,3.24,3.12
秋,GE21701,生涯学習と図書館,105,89,3.30,3.06,3.06,3.00,1.06,2.07,1.69,2.67,2.90,3.16,3.01,2.63,2.60,2.48,2.72,2.88,2.67
秋,GE21812,テクスト解釈-1,36,34,3.68,3.55,3.61,3.67,1.00,2.21,1.26,2.91,2.69,3.48,3.41,3.58,3.33,3.40,3.44,3.71,3.41
春,GE21822,テクスト解釈-2,32,30,3.53,3.54,3.56,3.67,1.00,2.27,1.83,3.20,3.40,3.40,3.47,3.45,3.24,3.21,3.33,3.43,3.27
秋,GE21832,テクスト解釈-3,40,33,3.38,3.32,3.39,3.46,1.06,2.09,1.70,3.19,2.44,2.97,2.97,3.19,3.03,3.07,3.13,3.28,3.16
春,GE22001,図書館概論,142,97,3.73,3.62,3.40,3.57,1.18,1.23,1.24,3.13,2.66,3.44,3.56,3.44,3.52,3.28,3.39,3.51,3.19
春,GE22101,経営・組織論,106,91,3.74,3.59,3.38,3.42,1.02,2.02,1.35,2.90,3.19,3.45,3.26,3.39,3.33,3.19,3.01,3.29,3.07
春,GE31023,知的探求の世界I-2,8,7,3.33,3.20,3.50,3.33,1.14,1.86,1.14,3.86,3.57,3.14,3.43,3.29,3.33,3.29,3.14,3.57,3.57
秋,GE31023,知的探求の世界I-2,8,6,3.33,3.17,3.67,3.67,1.00,2.00,1.00,3.83,3.67,3.33,3.67,3.50,3.67,3.17,3.17,3.67,3.67
春,GE40201,学習指導と学校図書館,51,42,3.49,3.43,3.33,3.34,1.64,3.29,2.02,2.79,2.59,3.10,3.12,3.31,3.40,2.73,3.05,3.21,3.05
秋,GE40301,学校図書館メディアの構成,33,27,3.69,3.64,3.10,3.28,1.69,3.69,1.84,2.27,2.00,3.20,3.19,3.19,2.96,2.84,2.96,3.24,2.50
春,GE40401,読書と豊かな人間性,104,74,3.49,3.25,3.21,3.24,1.22,3.07,1.42,3.00,2.76,3.18,3.24,3.15,3.30,3.18,3.07,3.22,2.89
秋,GE40501,情報メディアの活用,48,38,3.30,3.00,2.65,2.81,1.55,3.45,1.61,2.58,3.22,2.82,2.95,2.55,2.84,2.73,2.56,2.69,2.37
春,GE50301,知識情報特論I,120,80,3.36,3.22,3.19,3.17,1.09,3.76,1.60,2.76,2.70,3.15,3.16,3.06,3.09,3.01,3.00,3.03,2.83
秋,GE50401,知識情報特論II,121,92,3.21,2.79,2.56,2.63,1.01,3.96,1.54,2.31,2.65,3.13,3.02,2.83,2.96,2.53,2.76,2.71,2.46
春,GE50712,専門英語B-1,46,21,3.37,3.37,3.24,3.42,1.00,3.00,1.55,2.90,3.00,3.30,3.35,3.26,3.30,3.20,3.05,3.25,2.89
春,GE50722,専門英語B-2,27,25,3.26,3.00,2.80,3.15,1.04,2.96,1.40,2.71,2.54,3.05,2.64,2.64,2.79,2.74,2.39,2.65,2.73
