学期,科目番号,科目名称,履修者数,回答者数,問1,問2,問3,問4,問5,問6,問7,問8,問9,問10,問11,問12,問13,問14,問15,問16,問17
春,GE50712,専門英語B-1,24,11,3.55,3.55,3.78,3.78,1.00,3.09,2.00,2.91,3.09,3.55,3.64,3.55,3.55,3.55,3.50,3.30,3.20
春,GE50722,専門英語B-2,43,35,3.45,3.04,2.96,2.95,1.11,3.00,1.53,2.70,2.16,3.10,2.73,2.72,2.85,2.55,2.53,2.82,2.69
春,GE50732,専門英語B-3,48,45,3.62,3.51,3.47,3.49,1.00,3.00,1.53,2.84,3.33,3.46,3.47,3.40,3.56,3.38,3.21,3.34,3.27
秋,GE50812,専門英語C-1,25,19,3.44,3.36,3.15,3.33,1.00,3.00,1.58,3.00,3.33,3.50,2.79,3.22,3.26,3.17,3.11,3.26,3.00
秋,GE50822,専門英語C-2,43,31,3.47,3.57,3.44,3.39,1.00,3.00,1.52,2.94,2.77,3.41,3.58,3.42,3.41,3.24,3.20,3.37,3.30
秋,GE50832,専門英語C-3,47,44,3.67,3.60,3.53,3.56,1.00,3.00,1.77,3.07,3.30,3.49,3.47,3.46,3.57,3.33,3.26,3.40,3.27
春,GE60103,知識科学実習,24,12,3.58,3.42,3.50,3.25,1.00,3.08,1.08,3.00,3.25,3.33,3.33,3.25,3.33,3.18,3.17,3.25,3.00
秋,GE60103,知識科学実習,24,20,3.44,3.26,3.22,3.32,1.00,3.05,1.60,3.05,3.50,3.40,3.35,3.40,3.25,3.32,3.25,3.50,3.20
春,GE60201,テクニカルコミュニケーション,74,57,3.41,3.38,3.32,3.31,1.00,3.39,1.51,3.23,2.84,3.23,3.05,2.94,3.07,2.93,3.14,3.30,3.11
春,GE60501,知識論,28,22,3.50,3.50,3.29,3.50,1.05,3.29,2.09,3.00,2.95,3.57,3.14,3.00,3.19,3.10,2.71,3.09,2.95
